Name,Course Name,Holes,Public/Private,Phone,Address,Blurb
Marrakesh Country Club, Marrakesh Course,18 holes,Private,(760) 568-2660,"47000 Marrakesh Dr Palm Desert, CA 92260-5805 ","18 holes over 3,614 yards with a par of 60 (Private) Write a Review 47000 Marrakesh Dr Palm Desert, CA 92260-5805 (760) 568-2660 1 mile from the center of Palm Desert. Write a Review"
Shadow Mountain Golf Club, Shadow Mountain Course,18 holes,Public,(760) 346-8242,"73800 Ironwood St Palm Desert, CA 92260-5531 ","18 holes over 5,441 yards with a par of 70 (Public) Write a Review Check Tee Times 73800 Ironwood St Palm Desert, CA 92260-5531 (760) 346-8242 1 mile from the center of Palm Desert. Write a Review Check Tee Times"
The Golf Center At Palm Desert, Palm Desert Course,9 holes,Public,(760) 347-3484,"74945 Sheryl Ave Palm Desert, CA 92260-2073 ","9 holes over 914 yards with a par of 27 (Public) Write a Review Check Tee Times 74945 Sheryl Ave Palm Desert, CA 92260-2073 (760) 347-3484 2 miles from the center of Palm Desert. Write a Review Check Tee Times"
Portola Country Club, Portola Course,18 holes,Private,(760) 346-5481,"42500 Portola Ave Palm Desert, CA 92260-1998 ","18 holes over 2,134 yards with a par of 54 (Private) Write a Review 42500 Portola Ave Palm Desert, CA 92260-1998 (760) 346-5481 2 miles from the center of Palm Desert. Write a Review"
Ironwood Country Club, North Course,18 holes,Private,(760) 766-1062,"73735 Irontree Dr Palm Desert, CA 92260-6910 ","18 holes over 6,122 yards with a par of 72 (Private) Write a Review 73735 Irontree Dr Palm Desert, CA 92260-6910 (760) 766-1062 2 miles from the center of Palm Desert. Write a Review"
Ironwood Country Club, South Course,18 holes,Private,(760) 766-1062,"73735 Irontree Dr Palm Desert, CA 92260-6910 ","18 holes over 7,268 yards with a par of 72 (Private) Write a Review 73735 Irontree Dr Palm Desert, CA 92260-6910 (760) 766-1062 2 miles from the center of Palm Desert. Write a Review"
Chaparral Country Club, Chaparral Course,18 holes,Private,(760) 340-1501,"100 Chaparral Dr Palm Desert, CA 92260-0322 ","18 holes over 4,000 yards with a par of 60 (Private) Write a Review 100 Chaparral Dr Palm Desert, CA 92260-0322 (760) 340-1501 2 miles from the center of Palm Desert. Write a Review"
Monterey Country Club, West Course,9 holes,Private,(760) 346-1115,"41500 Monterey Ave Palm Desert, CA 92260-2199 ","9 holes over 3,144 yards with a par of 36 (Private) Write a Review 41500 Monterey Ave Palm Desert, CA 92260-2199 (760) 346-1115 3 miles from the center of Palm Desert. Write a Review"
Monterey Country Club, East Course,9 holes,Private,(760) 346-1115,"41500 Monterey Ave Palm Desert, CA 92260-2199 ","9 holes over 2,964 yards with a par of 35 (Private) Write a Review 41500 Monterey Ave Palm Desert, CA 92260-2199 (760) 346-1115 3 miles from the center of Palm Desert. Write a Review"
Monterey Country Club, South Course,9 holes,Private,(760) 346-1115,"41500 Monterey Ave Palm Desert, CA 92260-2199 ","9 holes over 3,041 yards with a par of 36 (Private) Write a Review 41500 Monterey Ave Palm Desert, CA 92260-2199 (760) 346-1115 3 miles from the center of Palm Desert. Write a Review"
Stone Eagle Golf Club, Stone Eagle Course,18 holes,Private,(760) 773-6165,"72500 Stone Eagle Dr Palm Desert, CA 92260-6280 ","18 holes over 6,976 yards with a par of 71 (Private) Write a Review 72500 Stone Eagle Dr Palm Desert, CA 92260-6280 (760) 773-6165 3 miles from the center of Palm Desert. Write a Review"
Bighorn Golf Club, Canyons Course,18 holes,Private,(760) 773-2468,"255 Palowet Dr Palm Desert, CA 92260-7311 ","18 holes over 7,083 yards with a par of 72 (Private) Write a Review 255 Palowet Dr Palm Desert, CA 92260-7311 (760) 773-2468 3 miles from the center of Palm Desert. Write a Review"
Bighorn Golf Club, Mountains Course,18 holes,Private,(760) 773-2468,"255 Palowet Dr Palm Desert, CA 92260-7311 ","18 holes over 6,871 yards with a par of 72 (Private) Write a Review 255 Palowet Dr Palm Desert, CA 92260-7311 (760) 773-2468 3 miles from the center of Palm Desert. Write a Review"
Desert Springs Golf Club, Palm Course,18 holes,Public,(800) 331-3112,"74855 Country Club Dr Palm Desert, CA 92260-1961 ","18 holes over 6,761 yards with a par of 72 (Public) Write a Review Check Tee Times 74855 Country Club Dr Palm Desert, CA 92260-1961 (800) 331-3112 3 miles from the center of Palm Desert. Write a Review Check Tee Times"
Desert Springs Golf Club, Valley Course,18 holes,Public,(800) 331-3112,"74855 Country Club Dr Palm Desert, CA 92260-1961 ","18 holes over 6,627 yards with a par of 72 (Public) Write a Review Check Tee Times 74855 Country Club Dr Palm Desert, CA 92260-1961 (800) 331-3112 3 miles from the center of Palm Desert. Write a Review Check Tee Times"
The Lakes Country Club, North Course,9 holes,Private,(760) 568-4321,"161 Old Ranch Rd Palm Desert, CA 92211-3211 ","9 holes over 3,244 yards with a par of 36 (Private) Write a Review 161 Old Ranch Rd Palm Desert, CA 92211-3211 (760) 568-4321 3 miles from the center of Palm Desert. Write a Review"
The Lakes Country Club, East Course,9 holes,Private,(760) 568-4321,"161 Old Ranch Rd Palm Desert, CA 92211-3211 ","9 holes over 3,175 yards with a par of 36 (Private) Write a Review 161 Old Ranch Rd Palm Desert, CA 92211-3211 (760) 568-4321 3 miles from the center of Palm Desert. Write a Review"
The Lakes Country Club, South Course,9 holes,Private,(760) 568-4321,"161 Old Ranch Rd Palm Desert, CA 92211-3211 ","9 holes over 3,445 yards with a par of 36 (Private) Write a Review 161 Old Ranch Rd Palm Desert, CA 92211-3211 (760) 568-4321 3 miles from the center of Palm Desert. Write a Review"
The Oasis Country Club, Oasis Course,18 holes,Public,(760) 345-2715,"42330 Casbah Way Palm Desert, CA 92211-7660 ","18 holes over 3,489 yards with a par of 60 (Public) Write a Review 42330 Casbah Way Palm Desert, CA 92211-7660 (760) 345-2715 3 miles from the center of Palm Desert. Write a Review Check Tee Times"
Palm Desert Country Club, Palm Desert Course,18 holes,Public,(760) 345-0222,"77200 California Dr Palm Desert, CA 92211-7898 ","18 holes over 6,357 yards with a par of 71 (Public) Write a Review Check Tee Times 77200 California Dr Palm Desert, CA 92211-7898 (760) 345-0222 3 miles from the center of Palm Desert. Write a Review Check Tee Times"
Suncrest Country Club, Suncrest Course,9 holes,Public,(760) 346-5866,"73450 Country Club Dr Palm Desert, CA 92260-8699 ","9 holes (Public) Write a Review 73450 Country Club Dr Palm Desert, CA 92260-8699 (760) 346-5866 3 miles from the center of Palm Desert. Write a Review Check Tee Times"
Palm Desert Greens, Palm Desert Greens Countr Course,18 holes,Private,(760) 346-2941,"73750 Country Club Dr Palm Desert, CA 92260-8663 ","18 holes over 4,079 yards with a par of 63 (Private) Write a Review 73750 Country Club Dr Palm Desert, CA 92260-8663 (760) 346-2941 3 miles from the center of Palm Desert. Write a Review"
Indian Ridge Country Club, Grove Course,18 holes,Private,(760) 772-7272,"76375 Country Club Dr Palm Desert, CA 92211-9512 ","18 holes over 7,070 yards with a par of 72 (Private) Write a Review 76375 Country Club Dr Palm Desert, CA 92211-9512 (760) 772-7272 3 miles from the center of Palm Desert. Write a Review"
Indian Ridge Country Club, Arroyo Course,18 holes,Private,(760) 772-7272,"76375 Country Club Dr Palm Desert, CA 92211-9512 ","18 holes over 6,915 yards with a par of 72 (Private) Write a Review 76375 Country Club Dr Palm Desert, CA 92211-9512 (760) 772-7272 3 miles from the center of Palm Desert. Write a Review"
Desert Falls Country Club, Desert Falls Course,18 holes,Public,(760) 340-5646,"1111 Desert Falls Pkwy Palm Desert, CA 92211-1709 ","18 holes over 7,017 yards with a par of 72 (Public) Write a Review Check Tee Times 1111 Desert Falls Pkwy Palm Desert, CA 92211-1709 (760) 340-5646 3 miles from the center of Palm Desert. Write a Review Check Tee Times"
