Name,Course Name,Holes,Public/Private,Phone,Address
O'Donnell Golf Club, O'Donnell Course,9 holes,Private,(760) 325-2259,"301 N Belardo Rd Palm Springs, CA 92262-5600 "
Mesquite Golf and Country Club, Mesquite Course,18 holes,Public,(760) 992-5158,"2700 E Mesquite Ave Ofc Palm Springs, CA 92264-5009 "
Escena Golf Club, Escena Course,18 holes,Public,(760) 778-2737,"1100 Clubhouse View Dr Palm Springs, CA 92262-0574 "
Canyon Estates, Canyon Estates Course,9 holes,Private,(760) 327-1346,"2323 S Madrona Dr Palm Springs, CA 92264-9514 "
Seven Lakes Country Club, Seven Lakes Course,18 holes,Private,(760) 328-9774,"1 Desert Lakes Dr Palm Springs, CA 92264-5520 "
Indian Canyons Golf Resort South Course, South Course,18 holes,Public,(760) 327-6550,"1097 E Murray Canyon Dr Palm Springs, CA 92264-4009 "
Indian Canyons Golf Resort North Course, North Course,18 holes,Public,(760) 833-8704,"1100 E Murray Canyon Dr Palm Springs, CA 92264-9484 "
Tahquitz Creek Golf Resort, Legends Course,18 holes,Municipal,(760) 328-1005,"1885 Golf Club Dr Palm Springs, CA 92264-3860 "
Tahquitz Creek Golf Resort, Resort Course,18 holes,Municipal,(760) 328-1005,"1885 Golf Club Dr Palm Springs, CA 92264-3860 "
Cimarron Golf Resort, Boulder Course,18 holes,Public,(760) 770-6060,"67603 30th Ave Cathedral City, CA 92234-5828 "
Cimarron Golf Resort, Pebble Course,18 holes,Public,(760) 770-6060,"67603 30th Ave Cathedral City, CA 92234-5828 "
Desert Princess Palm Springs, Los Lagos Course,9 holes,Public,(800) 465-3012,"28555 Landau Blvd Cathedral City, CA 92234-3508 "
Desert Princess Palm Springs, El Cielo Course,9 holes,Public,(800) 465-3012,"28555 Landau Blvd Cathedral City, CA 92234-3508 "
Desert Princess Palm Springs, La Vista Course,9 holes,Public,(800) 465-3012,"28555 Landau Blvd Cathedral City, CA 92234-3508 "
Cathedral Canyon Golf Club, Cathedral Canyon Course,18 holes,Public,(760) 328-6571,"68311 Paseo Real Cathedral City, CA 92234-6767 "
Outdoor Resort Palm Springs, Outdoor Resorts 1 Course,18 holes,Private,(760) 324-8638,"69411 Ramon Rd Cathedral City, CA 92234-3350 "
Outdoor Resort Palm Springs, Outdoor Resorts 2 Course,9 holes,Private,(760) 324-8638,"69411 Ramon Rd Cathedral City, CA 92234-3350 "
Date Palm Country Club, Date Palm Course,18 holes,Public,(760) 328-1315,"36200 Date Palm Dr Cathedral City, CA 92234-1506 "
